created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Thu Nov 09 23:45:55 +0000 2023,1722762472367739337,"Fakta yang terkaburkan: Setelah 7 Oktober, Hamas menawarkan pembebasan tawanan, dengan ditukar gencatan senjata. Netanyahu menolak. Catat!!!  https://t.co/CzUKLv6Akl",3,7,202,266,in,158660810,1722762472367739337,afifahafra79,https://twitter.com/afifahafra79/status/1722762472367739337,
Thu Nov 09 23:35:14 +0000 2023,1722759785832145070,@Greschinov Idf nyariin hamas https://t.co/LeG6fTk5Cf,2,3,20,140,in,942411634156322816,1722635651072528867,Jhegiwa80,https://twitter.com/Jhegiwa80/status/1722759785832145070,Greschinov
Thu Nov 09 23:20:22 +0000 2023,1722756042835280353,Al-Qassam Laporkan Perkembangan Baru Keberhasilan Menghalau Musuh dari Jarak Dekat https://t.co/qYD0s3yOdm #gaza #Hamas,1,2,158,406,in,65991060,1722756042835280353,hidcom,https://twitter.com/hidcom/status/1722756042835280353,
Thu Nov 09 23:13:20 +0000 2023,1722754274504196478,"Yang di sini baru pada mulai nakal, sok-sokan bela zionis, sok netral, nyalah-nyalahin Hamas melulu, sementara dunia merengkuh Islam karena Gaza. Terasa sekali sentimen dunia berubah banget terhadap Barat dan AS pada khususnya. Pada akhirnya kita akan menang, insya Allah.",9,35,1042,2200,in,76241729,1722754274504196478,malakmalakmal,https://twitter.com/malakmalakmal/status/1722754274504196478,
Thu Nov 09 23:05:32 +0000 2023,1722752310978425221,Being anti-Hamas is pro-Palestinian.,6,37,62,409,in,41160276,1722752310978425221,prageru,https://twitter.com/prageru/status/1722752310978425221,
Thu Nov 09 23:01:21 +0000 2023,1722751258984083769,"Rata-rata para akun pendukung Hamas teroris itu seperti @here_zil ini. Intoleran dan penghina agama.  Kalo Tuhan kami bersempak, bertangan enam atau pohon sekalipun apa urusannya sama kau?   Teman-teman, tandain mukanya dan bantu report ya.  Terima kasih,",2,31,44,142,in,1451314964174491652,1722751258984083769,LoudMinorities,https://twitter.com/LoudMinorities/status/1722751258984083769,here_zil
Thu Nov 09 22:54:14 +0000 2023,1722749466728612265,"Breaking News ‼️ Kata tentara @IDF yang patroli di salah satu sekolah Gaza,ternyata ditemukan ruangan yang dipakai teroris HAMAS buat simpan Bahan Peledak &amp  senjata. Jadi emang sifat pengecutnya kliatan 😪  kaum sumbu pendek pasti gak kuat liat video ini  https://t.co/Jj3J6EweWj",19,165,83,204,in,930221061773213696,1722749466728612265,seleb_berita,https://twitter.com/seleb_berita/status/1722749466728612265,IDF
Thu Nov 09 22:43:55 +0000 2023,1722746870299341196,"Banyak orang Amerika lebih berhati nurani dan memahami duduk perkara, ketimbang si Buya Si mahatahu"" soal Hamas itu""",0,2,53,121,in,158660810,1722746870299341196,afifahafra79,https://twitter.com/afifahafra79/status/1722746870299341196,
Thu Nov 09 22:09:38 +0000 2023,1722738240405590195,Halaman Rumah sakit Indonesia di Gaza malam ini dibombardir 20 Pesawat Jet Tempur Zionis Yahudi Israel  RS jd target karena mereka nengira jd persembunyian Hamas Pak @prabowo ini sdh menyangkut marwah indonesia..mereka tabuh genderang perang..  #أبوعبيدة  #CeasefireInGazaNOW https://t.co/WtgRE89uGi,22,88,751,713,in,1104200981674287105,1722738240405590195,Been4Q59,https://twitter.com/Been4Q59/status/1722738240405590195,prabowo
Thu Nov 09 21:39:28 +0000 2023,1722730652033015894,Tiga Tentara Zionis Kembali Tewas oleh Penembak Jitu Al-Qassam di Jalur Gaza Tengah https://t.co/4wkqgNRkJr #Hamas,1,2,73,146,in,65991060,1722730652033015894,hidcom,https://twitter.com/hidcom/status/1722730652033015894,
Thu Nov 09 21:02:55 +0000 2023,1722721453915910396,"Saat Gaza dibombardir, semua pendukung Hamas bilang tentara IDF shrsnya perang darat spy lebih gentleman. Ternyata setelah masuk ke kota, tdk ditemukan tentara Hamas  Hamas bilang mrk tdk berada di medan perang utk membantu mengurangi korban perang. Bukannya itu disebut pengecut https://t.co/ZTc8TOWXw6",25,182,182,563,in,795498951336075264,1722721453915910396,SammiSoh,https://twitter.com/SammiSoh/status/1722721453915910396,
Thu Nov 09 20:58:58 +0000 2023,1722720456439193885,Terbukti Hamas menggunakan sekolah sebagai tempat pembuatan roket dan peluncuran roket. Mereka mengharap Israel bisa menembak balik ke titik ini sehingga menimbulkan korban meninggal dan luka anak2 sekolah dan guru  Bejad! https://t.co/wS9tcnzVE5,17,139,229,517,in,795498951336075264,1722720456439193885,SammiSoh,https://twitter.com/SammiSoh/status/1722720456439193885,
Thu Nov 09 19:04:52 +0000 2023,1722691744880640357,"Fast attack and fast looting. 😁 Ksatria sejati, tak takut dicaci tak gentar mati. Berhasil mengalahkan tank merkava meskipun hanya bersenjatakan AK-47 dan granat.  #Hamas #TaufanAlAqsha https://t.co/qkGUdI4aeP",29,28,866,2036,in,1376458830175870976,1722691744880640357,PecintaSejarah2,https://twitter.com/PecintaSejarah2/status/1722691744880640357,
Thu Nov 09 19:04:10 +0000 2023,1722691567738400925,@cordova_media Sel kulit mati kabarnya yang membunuh juga HAMAS,5,3,42,295,in,1228812322321289216,1722555793046937783,grdkiff,https://twitter.com/grdkiff/status/1722691567738400925,cordova_media
Thu Nov 09 18:55:54 +0000 2023,1722689489565548956,"@tanyakanrl jangan berhenti rt dan kasih dukungan buat palestine pls, kemaren israel ngelak ngebom rumah sakit selang berapa lama coba justifikasi nyerang karena katanya di bawahnya ada terowongan, terus karena engagement jurnalis di sana tinggi, mereka juga sekarang fitnah jurnalis = hamas",0,3,67,584,in,3147891072,1722684400004161780,milnupi,https://twitter.com/milnupi/status/1722689489565548956,tanyakanrl
Thu Nov 09 18:47:43 +0000 2023,1722687427901612171,@16yBall @tanyakanrl KENAPA GA LU AJA YG MATI ANJING? IBARAT KATA ITU HAMAS PAHLAWAN GAZA. GAADA SATUPUN WARGA GAZA YG JELEKIN HAMAS. JADI LU MANUSIA ANJING MENDING DIEM BANGSAT,1,5,7,226,in,585359822,1722684400004161780,Dayanaclarkk,https://twitter.com/Dayanaclarkk/status/1722687427901612171,"16yBall, tanyakanrl"
Thu Nov 09 18:32:49 +0000 2023,1722683679078748275,Sehemu ya Usalama ya Hamas. Ishara ya mrengo wake wa kijeshi. Imekamatwa na Brigade 162 - mafanikio muhimu na yenye maana kwa Israel https://t.co/SY0fny7jEa,3,2,28,140,in,1363848043540459524,1722683679078748275,AbroadTanzania,https://twitter.com/AbroadTanzania/status/1722683679078748275,
Thu Nov 09 18:27:10 +0000 2023,1722682255473316284,Satu negara yg paling diuntungkan dengan perang Russia-Ukraina dan Israel-Hamas adalah cuma 1 negara didunia yg tdk kena dampak apapun yaitu cuma CHINA. Catat!!!,1,6,31,113,in,252415154,1722682255473316284,Ronnie_Rusli,https://twitter.com/Ronnie_Rusli/status/1722682255473316284,
Thu Nov 09 17:27:11 +0000 2023,1722667162085871864,"🇮🇱 🇵🇸 Hamas : Kami menyangkal mencapai kesepakatan gencatan senjata dengan pendudukan, perundingan masih berlanjut, dan jika ada kesepakatan yg tercapai, hal ini akan diumumkan dengan jelas kepada rakyat kami.  ➡️ Israel melancarkan perang psikologis melaui media dan Kutil Babi.",1,6,154,403,in,497234852,1722667162085871864,yo2thok,https://twitter.com/yo2thok/status/1722667162085871864,
Thu Nov 09 17:10:46 +0000 2023,1722663028368511021,condemn hamas,0,11,27,239,in,1691827182442819584,1722663028368511021,robpatt___,https://twitter.com/robpatt___/status/1722663028368511021,
Thu Nov 09 17:08:23 +0000 2023,1722662430466331086,"@el_avraham awal bersatunya kita karna banyak kaum terpelajar, ada yg sekolah di belanda pas pulang bikin pergerakan sampai jadi sumpah pemuda, disana anak palestina belajar ga tenang, hidup ga stabil, susah buat mikir perjuangan lewat diplomasi krn ortunya pada dibom, mending masuk hamas 🤷",0,1,29,149,in,1555126697212919808,1722652634488914211,shitcommanders,https://twitter.com/shitcommanders/status/1722662430466331086,el_avraham
Thu Nov 09 17:08:03 +0000 2023,1722662345904988306,"🇵🇸 🇮🇱 Conflict Update  Mulai sekarang, syarat-syarat kita yang harus diikuti, kita adalah pemegang keputusan, lapangan pertempuran adalah wilayah kita sendiri, dan dengan pertolongan Allah kita akan menang dan mengakhiri pendudukan selamanya.  Kepemimpinan politik #Hamas dan… https://t.co/IvX8l9f2bu",22,84,656,1872,in,113764464,1722662345904988306,Avolanza,https://twitter.com/Avolanza/status/1722662345904988306,
